time,time_s,scenario,vehicle_speed_kph,vehicle_speed_mps,accel_mps2,ambient_temp_c,battery_voltage_v,battery_current_a,battery_power_kw,battery_soc_pct,battery_temp_c,traction_power_kw,regen_power_kw,inverter_power_kw,inverter_loss_kw,motor_output_kw,motor_loss_kw,gearbox_loss_kw,total_loss_kw,efficiency_pct,motor_torque_nm,motor_speed_rpm,cabin_temp_c,target_cabin_temp_c,ecomp_power_kw,ptc_heater_kw,blower_flow_gps,pump_power_kw,chiller_q_kw,radiator_q_kw,mode,battery_status,thermal_status,drive_status,regen_status
2026-01-01T00:00:00Z,0.0,winter_us06_demo,0.0,0.0,0.0,5.0,390.2,0.0,0.0,78.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,heatup,normal,normal,stop,off
2026-01-01T00:00:01Z,1.0,winter_us06_demo,0.0,0.0,0.0,5.0,390.19869857142857,9.338831762743412,3.6439999999999997,77.99855396825397,21.94333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1096,22.0,0.3,3.1,0.18,0.05,0.0,0.0,heatup,normal,normal,stop,off
2026-01-01T00:00:02Z,2.0,winter_us06_demo,0.0,0.0,0.0,5.0,390.1973991,9.324818690212535,3.6385199999999998,77.99711011111111,21.886855555555552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.218270226666666,22.0,0.3,3.09452,0.18,0.05,0.0,0.0,heatup,normal,normal,stop,off
2026-01-01T00:00:03Z,3.0,winter_us06_demo,0.0,0.0,0.0,5.0,390.1961015691112,9.310924619843178,3.6330864886666663,77.99566841012354,21.830566037037034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.32601856757711,22.0,0.3,3.0890864886666667,0.18,0.05,0.0,0.0,heatup,normal,normal,stop,off
2026-01-01T00:00:04Z,4.0,winter_us06_demo,0.0,0.0,0.0,5.0,390.1948059622999,9.297148542699075,3.6276990716211444,77.99422884699989,21.77446415024691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.432852843395498,22.0,0.3,3.0836990716211448,0.18,0.05,0.0,0.0,heatup,normal,normal,stop,off
2026-01-01T00:00:05Z,5.0,winter_us06_demo,0.0,0.0,0.0,5.0,390.1935122632435,9.283489458395726,3.6223573578302246,77.99279140360392,21.718549269746088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.538780808440693,22.0,0.3,3.078357357830225,0.18,0.05,0.0,0.0,heatup,normal,normal,stop,off
2026-01-01T00:00:06Z,6.0,winter_us06_demo,0.32186800000000004,0.089408,0.089408,5.0,390.1922064929792,9.370142917245493,3.65615674003458,77.9913405477547,21.6636026877894,0.03909578045661518,0.0,0.04065961167487979,0.0015638312182646072,0.03675003362921827,0.0023457468273969106,0.0007819156091323036,0.004691493654793822,89.28571428571428,16.033374531092186,23.285004794116652,10.643810151249088,22.0,0.3,3.0730609595779654,0.18,0.05,0.0,0.017031738730958763,heatup,normal,normal,stop,off
2026-01-01T00:00:07Z,7.0,winter_us06_demo,1.1265379999999998,0.312928,0.22352,5.0,390.19083604464254,9.83430411027189,3.8372553427042537,77.9898178273806,21.612566262502103,0.2254458502667088,0.0,0.23446368427737715,0.009017834010668352,0.21191909925070626,0.013526751016002527,0.004508917005334176,0.027053502032005055,89.28571428571429,26.41613356143476,81.49751677940829,10.747948495132658,22.0,0.3,3.0678094924375454,0.18,0.05,0.0,0.06173774040640102,heatup,normal,normal,cruise,off
2026-01-01T00:00:08Z,8.0,winter_us06_demo,1.7702740000000001,0.491744,0.17881600000000003,5.0,390.18943800951774,10.032302179634282,3.91449834941316,77.98826445501973,21.56334895711049,0.3078957741697936,0.0,0.3202116051365853,0.012315830966791744,0.28942202771960596,0.018473746450187616,0.006157915483395872,0.03694749290037523,89.28571428571429,22.95810771368659,128.06752636764162,10.851203398732283,22.0,0.3,3.062602575243367,0.18,0.05,0.0,0.09590341858007506,heatup,normal,normal,cruise,off
2026-01-01T00:00:09Z,9.0,winter_us06_demo,2.735878,0.759968,0.26822399999999996,5.0,390.18793056712366,10.817450702240416,4.220838703519067,77.98658951902627,21.520525771389238,0.6193988734556809,0.0,0.6441748283939082,0.024775954938227235,0.5822349410483401,0.03716393240734085,0.012387977469113617,0.0743278648146817,89.28571428571429,29.8845372788174,197.92254074999158,10.95358235656637,22.0,0.3,3.057439830063386,0.18,0.05,0.0,0.15165981296293635,heatup,normal,normal,cruise,off
2026-01-01T00:00:10Z,10.0,winter_us06_demo,9.65604,2.68224,1.9222720000000002,5.0,390.18249151133693,39.03136746038508,15.229356202787574,77.98054612370771,21.6966619093624,11.560227860556292,0.0,12.022636974978544,0.4624091144222517,10.866614188922915,0.6936136716333775,0.23120455721112584,1.387227343266755,89.28571428571429,158.03023650148037,698.5501438234998,11.055092799574831,22.0,0.3,3.0523208821716814,0.18,0.12280746005960054,0.0,0.7602486686533511,heatup,normal,normal,drive,off
